placeName;getty;gnd;long;lat;comment
Brügge;;4069688-1;+003.224240;+051.208919;
Brünn;7011840;;16.6667;49.2167;
Brüssel;7007868;4008460-7;4.3333;50.8333;
Bunzlau;;4088643-8;+015.569699;+051.264180;
Burghausen;;4009130-2;+012.831388;+048.169166;
Burgos;;4080584-0;-003.700000;+042.350000;
Butzbach;;4009241-0;+008.671219;+050.433950;
Byczyna;1048958;;18.1667;51.1167;
Böblingen;;4007430-4;+009.029550;+048.684950;
Böhmisch-Leipa;;4315195-4;+014.537639;+050.685510;
Bückeburg;;4008715-3;+009.049390;+052.260649;
Büdingen;1038289;;9.1167;50.2833;
Büren;;4411255-5;7.97659;52.30596;
Bützow;;4227578-7;+011.982559;+053.848320;
Caen;7008209;4009282-3;-.3667;49.1833;
Caesarea Maritima;;4088936-1;+034.904589;+032.518880;
Cambrai;7008456;;3.2333;50.1667;
Cambridge;7010874;;.1167;52.2;
Cambridge;7013527;;-71.1;42.3667;
Canterbury;7012044;;1.0833;51.2833;
Capestrano;;4689361-1;+013.765800;+042.268439;
Cardiff;7008742;;-3.2167;51.5;
Cartagena;;4197667-8;-000.986230;+037.605119;
Casale Monferrato;7003924;;8.45;45.1333;
Castelo Branco;;4433734-6;-007.490870;+039.822189;
Celle;7005317;4009657-9;10.0833;52.6167;
Certaldo;;4085198-9;+011.040219;+043.547040;
Cesena;7004922;4085200-3;12.25;44.15;
Chassala;7004431;;9.5;51.3;
Chelmsford;7011848;;.4667;51.7333;
Chemnitz;7005951;4029702-0;12.9167;50.8333;
Chester;;4085244-1;-002.891890;+053.190500;
Chur;7007276;;9.5333;46.8667;
City of London;7011798;;-.0833;51.5167;
Clausthal;7205024;;10.3333;51.8;
Clausthal-Zellerfeld;7005931;;10.3333;51.8;
Coburg;7004330;4010325-0;10.9667;50.25;
Colditz;7012802;;12.8167;51.1333;
Colmar;7008119;4010401-1;7.35;48.0833;
Como;7005851;4085313-5;9.0833;45.8;
Conwy;7008539;;-3.8333;53.2833;
Covarrubias;;4334649-2;-003.519559;+042.059260;
Cremona;;4010700-0;+010.027969;+045.136169;
Cronheim;;4585222-4;+010.663899;+049.095379;
Crossen;1036562;;12.4833;50.7667;
Córdoba;;4010558-1;-004.767222;+037.891666;
Dahme;1036579;;13.4333;51.8667;
Dannenberg (Elbe);;4011027-8;+011.090000;+053.096666;
Danzig;7007660;4011039-4;18.6833;54.3667;
Darmstadt;7004428;;8.65;49.8667;
Daun;;4011195-7;+006.829419;+050.197159;
Deggendorf;;4011295-0;+012.960680;+048.840859;
Delft;7006804;4011369-3;4.35;52.0167;
Delitzsch;;4011376-0;+012.342840;+051.525460;
Demmin;;4090674-7;+013.031420;+053.907620;
Den Haag;7006810;4011446-6;4.2667;52.0833;
Dersingham;7010781;;.5;52.85;
Dessau;7012804;;12.25;51.85;
Detmold;;4011555-0;+008.873055;+051.938333;
Deventer;7006940;4090740-5;6.1667;52.25;
Diessenhofen;;4090794-6;+008.749444;+047.689166;
Dieuze;;5247571-2;6.7178;48.81263;
Dijon;;4012315-7;+005.016670;+047.316670;
Dillingen;7012427;;10.5;48.55;
Dillingen an der Donau;7012427;4012328-5;10.5;48.55;
Dinkelsbühl;7012428;;10.35;49.0667;
Dippoldiswalde;;4223824-9;+013.669050;+050.896210;
Doberlug;;4231033-7;+013.550000;+051.600000;
Donauwörth;;4012721-7;+010.779299;+048.718040;
Dordrecht;7006798;;4.6667;51.8;
Dorfchemnitz;;4830886-9;+013.450000;+050.766666;
Dornburg;7194885;; 11.6667; 51.0167;
Dorpat;7006624;;26745;58366;
Dortmund;7004982;;7.45;51.5167;
