ISIL;ILN;ELN;Bibliothek;Anschrift;PLZ;Ort;Bundesland;Land;Lat;Long;Website;OPAC
DE-581;2351;KAMI;Karlshochschule International University, Bibliothek;Karlstr. 36-38;76133;Karlsruhe;Baden-Württemberg;DE;49.00666;8.39432;http://www.bibliothek.karlshochschule.de;http://www.ubka.uni-karlsruhe.de/hylib/ka_opac.html
DE-Ka1;2352;KALG;Karlshochschule International University, Bibliothek;Karlstr. 36-38;76133;Karlsruhe;Baden-Württemberg;DE;49.00666;8.39432;http://www.bibliothek.karlshochschule.de;http://www.ubka.uni-karlsruhe.de/hylib/ka_opac.html
DE-Ka74;2354;KABW;Bundesanstalt für Wasserbau, Infozentrum Wasserbau;Kußmaulstr. 17;76187;Karlsruhe;Baden-Württemberg;DE;49.01962;8.37131;http://izw.baw.de;http://www.ubka.uni-karlsruhe.de/hylib/ka_opac.html
DE-Ka81;2355;KAGA;Landesarchiv Baden-Württemberg, Abteilung Generallandesarchiv Karlsruhe, Bibliothek;Nördliche Hildapromenade 3;76133;Karlsruhe;Baden-Württemberg;DE;49.01317;8.38282;http://www.landesarchiv-bw.de/web/47245;https://bsz.ibs-bw.de/aDISWeb/app?service=direct/0/Home/%24DirectLink&sp=S127.0.0.1:23442
DE-Ka83;2356;KALN;Staatliches Museum für Naturkunde, Bibliothek;Erbprinzenstr. 13;76133;Karlsruhe;Baden-Württemberg;DE;49.00707;8.40023;http://www.smnk.de;https://bsz.ibs-bw.de/aDISWeb/app?service=direct/0/Home/%24DirectLink&sp=S127.0.0.1:23442
DE-Ka87;2357;KASU;Landwirtschaftliches Technologie-Zentrum Augustenberg, Bibliothek;Neßlerstr. 23;76227;Karlsruhe;Baden-Württemberg;DE;49.00501;8.49333;http://www.ltz-augustenberg.de;https://bsz.ibs-bw.de/aDISWeb/app?service=direct/0/Home/%24DirectLink&sp=S127.0.0.1:23442
DE-L97;2360;L1UF;Helmholtz-Zentrum für Umweltforschung GmbH - UFZ, Bibliothek;Permoserstr. 15;04318;Leipzig;Sachsen;DE;51.35218;12.42895;http://www.ufz.de/index.php?de=635;https://ufz.on.worldcat.org/discovery
DE-Mau1;2365;S2MBET;Evangelisch-theologisches Seminar Maulbronn, Seminarbibliothek;Klosterhof 12-17;75433;Maulbronn;Baden-Württemberg;DE;49.00045;8.81324;http://www.ufz.de/index.php?de=635;https://ufz.on.worldcat.org/discovery
DE-Frei143;2367;FR143;Carl-Schurz-Haus, Deutsch-Amerikanisches Institut e.V., Bibliothek;Eisenbahnstr. 62;79098;Freiburg/Breisgau;Baden-Württemberg;DE;47.99696;7.84478;http://www.carl-schurz-haus.de/;https://ufz.on.worldcat.org/discovery
DE-Mh5;2368;MASTKH;Städtische Kunsthalle, Kunstwissenschaftliche Bibliothek;Moltkestr. 9;68165;Mannheim;Baden-Württemberg;DE;49.48244;8.47499;http://www.kunsthalle-mannheim.de;https://ufz.on.worldcat.org/discovery
DE-Mz19;2369;KAGESP;Universität Mainz, Bereichsbibliothek Translations-, Sprach- und Kulturwissenschaft;An der Hochschule 2;76726;Germersheim;Rheinland-Pfalz;DE;49.21644;8.37078;http://www.blogs.uni-mainz.de/ubdeu/?page_id=6546;http://opac.ub.uni-mainz.de/IMPLAND=Y/SRT=YOP/LNG=DU////DB=2/
DE-Ne1;2370;S2NEAB;Benediktinerabtei Neresheim, Bibliothek;Kloster Neresheim 12;73450;Neresheim;Baden-Württemberg;DE;48.75497;10.34334;http://www.abtei-neresheim.de/;http://opac.ub.uni-mainz.de/IMPLAND=Y/SRT=YOP/LNG=DU////DB=2/
